smile id
c1cc2c(cc1NC(=O)C(=O)N[C@@H]3CCCN(C3)C(=O)[O-])C(=O)NCC2 ZINC000739481482
Cc1cccc(n1)C(=O)N2CC(C2)NC(=O)c3ccc4c(c3)C=CCC4 ZINC000995372099
C[C@@H]1C(=O)Nc2cccc(c2O1)c3nc(no3)c4ccc5c(c4)CCC5 ZINC000685694624
C[C@H]1C(=O)Nc2cccc(c2O1)c3nc(no3)c4ccc5c(c4)CCC5 ZINC000685694625
Cc1cc(cc(c1)NC(=O)Cc2ccc3c(c2)NC(=O)C3)c4n[n-]nn4 ZINC001580980899
CCc1ccc(cc1)C2=CCN(CC2)c3nc(cc(n3)c4n[n-]nn4)C ZINC001590888348
Cc1ccc2c(c1)[C@@H](CC2)NC(=O)[C@H]([C@@H](c3[nH]c4ccccc4n3)O)O ZINC000779766763
c1cc(ccc1C2=CCCC2)C(=O)Nc3ccc4c(c3)C(=O)NCC4 ZINC000685745503
Cn1ccc2cc(ccc2c1=O)C3=CC[C@@H](CC3)OC(=O)c4ccccc4 ZINC001244803173
c1cc2c(c(c1)c3ccc4c(c3)C5(CC[NH2+]CC5)C(=O)N4)NCC2 ZINC001240817434
Cc1cc(cc(c1)NC(=O)[C@H]2Cc3ccccc3C(=O)O2)c4n[n-]nn4 ZINC001580979879
Cc1cc(cc(c1)NC(=O)[C@@H]2Cc3ccccc3C(=O)O2)c4n[n-]nn4 ZINC001580979878
c1ccc2c(c1)c(cc(n2)c3ccc4c(c3)CCCC4=O)C(=O)NC5CC5 ZINC001243995003
c1cc(ccc1c2ncco2)NC(=O)N[C@@H]3CCc4cc(ccc4C3)O ZINC000683560311
Cc1cc(nc(c1)NC(=O)C(=O)N2CCC=C(C2)c3ccccc3)C ZINC000284317762
Cc1[nH]c2cc(ccc2n1)c3ccc(cn3)C(=O)N4CCc5c4cccc5 ZINC001243975128
c1ccc2c(c1)CCN(C2)c3ccc(nn3)c4ccc5c(c4)CCCC5=O ZINC001243993712
Cc1cc(ncc1c2n[n-]nn2)N3CC[C@@]4(C3)c5ccccc5NC4=O ZINC001580963165
c1ccc(cc1)CNC(=O)c2ccnc(c2)c3ccc4c(c3)CCCC4=O ZINC001243993714
C[C@@H]1CN([C@H]1c2ccccc2)C(=O)N[C@@H]3CCc4cc(ccc4C3)O ZINC000683710523
CC1(Cc2ccc(cc2O1)C(=O)N(C)c3ccc(cc3)c4n[n-]nn4)C ZINC001590994018
CN(c1cccc(c1)c2n[n-]nn2)C(=O)c3ccc4c(c3)CCCC4=O ZINC001590993482
Cc1cc(nc(n1)NC(=O)c2ccccc2)c3ccc4c(c3)CCCC4=O ZINC001243993785
c1cc(cc(c1)C(=O)N2CCc3cnc(nc3C2)N)c4n[n-]nn4 ZINC001581910643
c1ccc(cc1)CNC(=O)c2cccc(c2)NC(=O)[C@@H]3[C@@H]4[C@@H]3C(=O)CC4 ZINC000907165130
C[C@@H](CC(=O)Nc1ccc2c(c1)C(=O)NCC2)c3c[nH]c4c3cccc4 ZINC000683742489
c1cc2c(c(c1)O)CC[C@H]2NC(=O)N3CCc4c(cnc(n4)C5CC5)C3 ZINC000636852311
Cc1cccc(c1C)NC(=O)c2ccc(cc2)c3ccc4c(n3)NC(=O)C4 ZINC001244380690
c1cc2c(cc1c3ccc(cn3)NC(=O)c4ccc(c(c4)F)F)NCC2 ZINC001244014007
Cc1ccc2c(c1)[C@@H](CC2)NC(=O)N3C[C@H](C[C@H]3c4ccccc4)C ZINC001686942055
Cc1cc(nc2c1cc(cc2)NC(=O)C(=O)N3CC[C@@](C3)(C)C[NH3+])C ZINC000886983510
Cc1cc(cc(c1)NC(=O)[C@H]2CNC(=O)c3c2cccc3)c4n[n-]nn4 ZINC001580979133
Cc1cc(cc(c1)NC(=O)[C@@H]2CNC(=O)c3c2cccc3)c4n[n-]nn4 ZINC001580979135
c1ccc2c(c1)c(ccc2F)C(=O)N[C@@H]3CCc4cc(ccc4C3)O ZINC000684606064
c1ccc(cc1)COC(=O)c2ccc(nc2)c3ccc4cc[nH]c(=O)c4c3 ZINC001244312322
Cc1cc(cc(c1)NC(=O)C[C@@H]2c3ccccc3C(=O)N2)c4n[n-]nn4 ZINC001580979746
c1cc(c2ccc(=O)[nH]c2c1)c3ccc4c(c3)[nH]c(n4)[C@@H]5[C@H]6CC[C@H](C6)[NH2+]5 ZINC001244317981
CCc1ccccc1NC(=O)N2Cc3ccc(cc3C2)c4n[n-]nn4 ZINC001590897975
c1ccc2c(c1)[C@]3(CCN(C3)C(=O)c4cccc(c4)C5CCC5)C(=O)N2 ZINC000684931060
c1ccc2c(c1)CCN(C2=O)NC(=O)Nc3cccc(c3)CCC(=O)[O-] ZINC001595066557
Cc1ccc2c(c1)CN(CC2)C(=O)C(=O)NCc3cc(cc(c3)F)N ZINC000885135046
Cn1ccc2cc(ccc2c1=O)C3=CC[C@H](CC3)OC(=O)c4ccccc4 ZINC001244803175
c1ccc2c(c1)c(c[nH]2)C3=CCN(CC3)C(=O)C[NH+]4CC[C@@H]5C[C@H]5C4 ZINC000661974708
c1ccc-2c(c1)Cc3c2cc(cc3)C(=O)N[C@@H]4CCC[C@H](C4)F ZINC001437071487
Cc1ccc2c(c1)[C@H](CC2)NC(=O)C(=O)N3CC[C@@H]4COC(=O)N[C@H]4C3 ZINC000834714766
c1ccc(cc1)C(=O)O[C@@H]2CCC(=CC2)c3cccc4c3C5(CC5)C(=O)N4 ZINC001244809150
Cn1c(=O)ccc2c1cc(cc2)C3=CC[C@@H](CC3)OC(=O)c4ccccc4 ZINC001244809402
Cc1cccc2c1CC[C@H]2NC(=O)N3CCC(CC3)[C@@H]4C(C(=O)N4)(C)C ZINC000636733353
Cc1cccc2c1CC[C@H]2NC(=O)N3CCC(CC3)[C@H]4C(C(=O)N4)(C)C ZINC000636733352
c1ccc-2c(c1)Cc3c2ccc(c3)c4ccc(cc4)C5CC(=O)NC(=O)C5 ZINC001245285292
c1cc2c(cc1NC(=O)C(=O)N3CC[NH+]4CCC[C@@H]4C3)cc(o2)C(=O)[O-] ZINC000833156779
c1ccc-2c(c1)Cc3c2ccc(c3)c4ccc5nc(nn5c4)[C@@H]6CC[NH2+]C6 ZINC001245285979
Cc1cccc2c1CCN(C2)C(=O)C(=O)Nc3cccc4c3cccc4 ZINC000729882162
Cc1cccc2c1CCN(C2)C(=O)C(=O)Nc3ccc4ccccc4c3 ZINC000729882285
c1ccc(cc1)c2ccc(cc2)NC(=O)CN3Cc4ccccc4C3=O ZINC000729964819
CC(C)c1ccc2c(c1)CN(CC2)C(=O)Nc3ccc(cc3)C(=O)N ZINC000663404303
C[NH+]1CC[C@@H]2[C@H]1CCN(C2)C(=O)Nc3ccc4c(c3)CCNC4=O ZINC000880069888
CC(C)c1ccc2c(c1)CN(CC2)C(=O)Nc3cccc(c3)C(=O)N ZINC000663454957
c1ccc2c(c1)CCN(C2)c3ccc(nn3)c4ccc5cc(ccc5c4)N ZINC001245369604
Cc1ccc2c(c1)[C@@H](CC2)NC(=O)Nc3ccc4c(c3)ccc(=O)o4 ZINC000730109534
c1ccc2c(c1)CCN(C2)NC(=O)c3cccc(n3)c4n[n-]nn4 ZINC001582561560
c1ccc2c(c1)CCN(C2)NC(=O)c3cc(ccn3)c4n[n-]nn4 ZINC001582561579
C[C@@H]1CCC(N1C(=O)N[C@@H]2CCc3c2ccc(c3)c4n[n-]nn4)(C)C ZINC001590225787
Cc1ccc2c(c1)[C@@H](CC2)NC(=O)C(=O)Nc3ccc4ccccc4c3 ZINC000730390264
